"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_844A","ACCT_844B","ACCT_844C","ACCT_844D","ACCT_844E","ACCT_844F","ACCT_844G","ACCT_844H","ACCT_844I","ACCT_844J","ACCT_844K","ACCT_844L","ACCT_844M","ACCT_844N","ACCT_844O","ACCT_844P","ACCT_844Q","ACCT_844R","ACCT_844S","ACCT_844T"
277,12/31/2013 0:00:00,152,"","","","","","","","","","","","","","","","","","","",""
287,12/31/2013 0:00:00,154,"","","","","","","","","","","","","","","","","","","",""
288,12/31/2013 0:00:00,155,"","","","","","","","","","","","","","","","","","","",""
291,12/31/2013 0:00:00,157,"","","","","","","","","","","","","","","","","","","",""
293,12/31/2013 0:00:00,159,"","","","","","","","","","","","","","","","","","","",""
294,12/31/2013 0:00:00,160,"","","","","","","","","","","","","","","","","","","",""
297,12/31/2013 0:00:00,161,"","","","","","","","","","","","","","","","","","","",""
303,12/31/2013 0:00:00,166,"","","","","","","","","","","","","","","","","","","",""
306,12/31/2013 0:00:00,168,"381912158","010756441","381912158","","","","","","","","","","","","","","","","",""
319,12/31/2013 0:00:00,173,"","","","","","","","","","","","","","","","","","","",""
320,12/31/2013 0:00:00,174,"","","","","","","","","","","","","","","","","","","",""
321,12/31/2013 0:00:00,175,"","","","","","","","","","","","","","","","","","","",""
327,12/31/2013 0:00:00,179,"","","","","","","","","","","","","","","","","","","",""
339,12/31/2013 0:00:00,182,"","","","","","","","","","","","","","","","","","","",""
340,12/31/2013 0:00:00,183,"","","","","","","","","","","","","","","","","","","",""
345,12/31/2013 0:00:00,185,"","","","","","","","","","","","","","","","","","","",""
346,12/31/2013 0:00:00,186,"","","","","","","","","","","","","","","","","","","",""
352,12/31/2013 0:00:00,188,"","","","","","","","","","","","","","","","","","","",""
359,12/31/2013 0:00:00,192,"","","","","","","","","","","","","","","","","","","",""
361,12/31/2013 0:00:00,193,"","","","","","","","","","","","","","","","","","","",""
362,12/31/2013 0:00:00,194,"","","","","","","","","","","","","","","","","","","",""
364,12/31/2013 0:00:00,196,"","","","","","","","","","","","","","","","","","","",""
365,12/31/2013 0:00:00,197,"","","","","","","","","","","","","","","","","","","",""
366,12/31/2013 0:00:00,198,"","","","","","","","","","","","","","","","","","","",""
367,12/31/2013 0:00:00,199,"","","","","","","","","","","","","","","","","","","",""
370,12/31/2013 0:00:00,201,"","","","","","","","","","","","","","","","","","","",""
373,12/31/2013 0:00:00,203,"","","","","","","","","","","","","","","","","","","",""
375,12/31/2013 0:00:00,205,"","","","","","","","","","","","","","","","","","","",""
376,12/31/2013 0:00:00,206,"","","","","","","","","","","","","","","","","","","",""
378,12/31/2013 0:00:00,208,"","","","","","","","","","","","","","","","","","","",""
379,12/31/2013 0:00:00,209,"953732627","","","","","","","","","","","","","","","","","","",""
383,12/31/2013 0:00:00,211,"","","","","","","","","","","","","","","","","","","",""
387,12/31/2013 0:00:00,213,"","","","","","","","","","","","","","","","","","","",""
389,12/31/2013 0:00:00,214,"","","","","","","","","","","","","","","","","","","",""
390,12/31/2013 0:00:00,215,"","","","","","","","","","","","","","","","","","","",""
395,12/31/2013 0:00:00,217,"","","","","","","","","","","","","","","","","","","",""
400,12/31/2013 0:00:00,218,"","","","","","","","","","","","","","","","","","","",""
402,12/31/2013 0:00:00,220,"","","","","","","","","","","","","","","","","","","",""
404,12/31/2013 0:00:00,222,"","","","","","","","","","","","","","","","","","","",""
422,12/31/2013 0:00:00,229,"","","","","","","","","","","","","","","","","","","",""
430,12/31/2013 0:00:00,232,"","","","","","","","","","","","","","","","","","","",""
434,12/31/2013 0:00:00,234,"","","","","","","","","","","","","","","","","","","",""
435,12/31/2013 0:00:00,235,"","","","","","","","","","","","","","","","","","","",""
439,12/31/2013 0:00:00,238,"","","","","","","","","","","","","","","","","","","",""
444,12/31/2013 0:00:00,239,"","","","","","","","","","","","","","","","","","","",""
452,12/31/2013 0:00:00,240,"","","","","","","","","","","","","","","","","","","",""
464,12/31/2013 0:00:00,246,"","","","","","","","","","","","","","","","","","","",""
473,12/31/2013 0:00:00,252,"","","","","","","","","","","","","","","","","","","",""
475,12/31/2013 0:00:00,253,"","","","","","","","","","","","","","","","","","","",""
477,12/31/2013 0:00:00,255,"","","","","","","","","","","","","","","","","","","",""
479,12/31/2013 0:00:00,256,"","","","","","","","","","","","","","","","","","","",""
484,12/31/2013 0:00:00,257,"","","","","","","","","","","","","","","","","","","",""
489,12/31/2013 0:00:00,259,"","","","","","","","","","","","","","","","","","","",""
490,12/31/2013 0:00:00,260,"","","","","","","","","","","","","","","","","","","",""
491,12/31/2013 0:00:00,261,"","","","","","","","","","","","","","","","","","","",""
495,12/31/2013 0:00:00,263,"","","","","","","","","","","","","","","","","","","",""
511,12/31/2013 0:00:00,271,"","","","","","","","","","","","","","","","","","","",""
514,12/31/2013 0:00:00,272,"","","","","","","","","","","","","","","","","","","",""
515,12/31/2013 0:00:00,273,"","","","","","","","","","","","","","","","","","","",""
517,12/31/2013 0:00:00,274,"","","","","","","","","","","","","","","","","","","",""
524,12/31/2013 0:00:00,276,"","","","","","","","","","","","","","","","","","","",""
528,12/31/2013 0:00:00,277,"","","","","","","","","","","","","","","","","","","",""
538,12/31/2013 0:00:00,282,"","","","","","","","","","","","","","","","","","","",""
552,12/31/2013 0:00:00,284,"","","","","","","","","","","","","","","","","","","",""
554,12/31/2013 0:00:00,285,"","","","","","","","","","","","","","","","","","","",""
560,12/31/2013 0:00:00,288,"","","","","","","","","","","","","","","","","","","",""
566,12/31/2013 0:00:00,290,"","","","","","","","","","","","","","","","","","","",""
567,12/31/2013 0:00:00,291,"","","","","","","","","","","","","","","","","","","",""
577,12/31/2013 0:00:00,293,"","","","","","","","","","","","","","","","","","","",""
594,12/31/2013 0:00:00,302,"","","","","","","","","","","","","","","","","","","",""
606,12/31/2013 0:00:00,307,"","","","","","","","","","","","","","","","","","","",""
609,12/31/2013 0:00:00,309,"","","","","","","","","","","","","","","","","","","",""
613,12/31/2013 0:00:00,311,"","","","","","","","","","","","","","","","","","","",""
616,12/31/2013 0:00:00,314,"","","","","","","","","","","","","","","","","","","",""
617,12/31/2013 0:00:00,315,"","","","","","","","","","","","","","","","","","","",""
619,12/31/2013 0:00:00,316,"201129884","","","","","","","","","","","","","","","","","","",""
620,12/31/2013 0:00:00,317,"","","","","","","","","","","","","","","","","","","",""
624,12/31/2013 0:00:00,321,"272893348","900961333","","","","","","","","","","","","","","","","","",""
636,12/31/2013 0:00:00,325,"","","","","","","","","","","","","","","","","","","",""
640,12/31/2013 0:00:00,328,"","","","","","","","","","","","","","","","","","","",""
643,12/31/2013 0:00:00,329,"","","","","","","","","","","","","","","","","","","",""
644,12/31/2013 0:00:00,330,"","","","","","","","","","","","","","","","","","","",""
648,12/31/2013 0:00:00,334,"","","","","","","","","","","","","","","","","","","",""
649,12/31/2013 0:00:00,335,"","","","","","","","","","","","","","","","","","","",""
650,12/31/2013 0:00:00,336,"","","","","","","","","","","","","","","","","","","",""
660,12/31/2013 0:00:00,339,"","","","","","","","","","","","","","","","","","","",""
663,12/31/2013 0:00:00,341,"","","","","","","","","","","","","","","","","","","",""
665,12/31/2013 0:00:00,342,"","","","","","","","","","","","","","","","","","","",""
675,12/31/2013 0:00:00,345,"","","","","","","","","","","","","","","","","","","",""
678,12/31/2013 0:00:00,348,"","","","","","","","","","","","","","","","","","","",""
680,12/31/2013 0:00:00,349,"","","","","","","","","","","","","","","","","","","",""
682,12/31/2013 0:00:00,350,"","","","","","","","","","","","","","","","","","","",""
687,12/31/2013 0:00:00,352,"","","","","","","","","","","","","","","","","","","",""
690,12/31/2013 0:00:00,353,"","","","","","","","","","","","","","","","","","","",""
716,12/31/2013 0:00:00,364,"","","","","","","","","","","","","","","","","","","",""
722,12/31/2013 0:00:00,366,"","","","","","","","","","","","","","","","","","","",""
731,12/31/2013 0:00:00,369,"","","","","","","","","","","","","","","","","","","",""
760,12/31/2013 0:00:00,374,"","","","","","","","","","","","","","","","","","","",""
761,12/31/2013 0:00:00,375,"","","","","","","","","","","","","","","","","","","",""
770,12/31/2013 0:00:00,378,"","","","","","","","","","","","","","","","","","","",""
776,12/31/2013 0:00:00,381,"","","","","","","","","","","","","","","","","","","",""
785,12/31/2013 0:00:00,386,"","","","","","","","","","","","","","","","","","","",""
794,12/31/2013 0:00:00,390,"","","","","","","","","","","","","","","","","","","",""
795,12/31/2013 0:00:00,391,"","","","","","","","","","","","","","","","","","","",""
798,12/31/2013 0:00:00,393,"","","","","","","","","","","","","","","","","","","",""
808,12/31/2013 0:00:00,398,"850353899","","","","","","","","","","","","","","","","","","",""
817,12/31/2013 0:00:00,401,"","","","","","","","","","","","","","","","","","","",""
818,12/31/2013 0:00:00,402,"","","","","","","","","","","","","","","","","","","",""
830,12/31/2013 0:00:00,407,"","","","","","","","","","","","","","","","","","","",""
831,12/31/2013 0:00:00,408,"","","","","","","","","","","","","","","","","","","",""
832,12/31/2013 0:00:00,409,"","","","","","","","","","","","","","","","","","","",""
838,12/31/2013 0:00:00,413,"","","","","","","","","","","","","","","","","","","",""
839,12/31/2013 0:00:00,414,"","","","","","","","","","","","","","","","","","","",""
841,12/31/2013 0:00:00,416,"","","","","","","","","","","","","","","","","","","",""
843,12/31/2013 0:00:00,417,"","","","","","","","","","","","","","","","","","","",""
845,12/31/2013 0:00:00,418,"","","","","","","","","","","","","","","","","","","",""
850,12/31/2013 0:00:00,420,"","","","","","","","","","","","","","","","","","","",""
851,12/31/2013 0:00:00,421,"","","","","","","","","","","","","","","","","","","",""
854,12/31/2013 0:00:00,423,"","","","","","","","","","","","","","","","","","","",""
855,12/31/2013 0:00:00,424,"203848012","","","","","","","","","","","","","","","","","","",""
856,12/31/2013 0:00:00,425,"","","","","","","","","","","","","","","","","","","",""
857,12/31/2013 0:00:00,426,"223666604","223729993","224163876","","","","","","","","","","","","","","","","",""
858,12/31/2013 0:00:00,427,"","","","","","","","","","","","","","","","","","","",""
861,12/31/2013 0:00:00,428,"460599375","","","","","","","","","","","","","","","","","","",""
871,12/31/2013 0:00:00,432,"","","","","","","","","","","","","","","","","","","",""
872,12/31/2013 0:00:00,433,"455469872","","","","","","","","","","","","","","","","","","",""
884,12/31/2013 0:00:00,441,"","","","","","","","","","","","","","","","","","","",""
887,12/31/2013 0:00:00,444,"","","","","","","","","","","","","","","","","","","",""
888,12/31/2013 0:00:00,445,"","","","","","","","","","","","","","","","","","","",""
898,12/31/2013 0:00:00,450,"","","","","","","","","","","","","","","","","","","",""
900,12/31/2013 0:00:00,451,"","","","","","","","","","","","","","","","","","","",""
903,12/31/2013 0:00:00,453,"","","","","","","","","","","","","","","","","","","",""
907,12/31/2013 0:00:00,454,"","","","","","","","","","","","","","","","","","","",""
909,12/31/2013 0:00:00,455,"","","","","","","","","","","","","","","","","","","",""
911,12/31/2013 0:00:00,457,"562300672","","","","","","","","","","","","","","","","","","",""
916,12/31/2013 0:00:00,460,"","","","","","","","","","","","","","","","","","","",""
926,12/31/2013 0:00:00,465,"","","","","","","","","","","","","","","","","","","",""
930,12/31/2013 0:00:00,466,"","","","","","","","","","","","","","","","","","","",""
932,12/31/2013 0:00:00,468,"","","","","","","","","","","","","","","","","","","",""
934,12/31/2013 0:00:00,469,"","","","","","","","","","","","","","","","","","","",""
943,12/31/2013 0:00:00,473,"","","","","","","","","","","","","","","","","","","",""
946,12/31/2013 0:00:00,475,"","","","","","","","","","","","","","","","","","","",""
948,12/31/2013 0:00:00,476,"850319205","850463689","","","","","","","","","","","","","","","","","",""
951,12/31/2013 0:00:00,477,"","","","","","","","","","","","","","","","","","","",""
960,12/31/2013 0:00:00,482,"930348780","","","","","","","","","","","","","","","","","","",""
964,12/31/2013 0:00:00,485,"","","","","","","","","","","","","","","","","","","",""
967,12/31/2013 0:00:00,486,"","","","","","","","","","","","","","","","","","","",""
971,12/31/2013 0:00:00,489,"","","","","","","","","","","","","","","","","","","",""
986,12/31/2013 0:00:00,494,"","","","","","","","","","","","","","","","","","","",""
988,12/31/2013 0:00:00,495,"","","","","","","","","","","","","","","","","","","",""
1000,12/31/2013 0:00:00,500,"","","","","","","","","","","","","","","","","","","",""
1015,12/31/2013 0:00:00,509,"","","","","","","","","","","","","","","","","","","",""
1021,12/31/2013 0:00:00,512,"","","","","","","","","","","","","","","","","","","",""
1022,12/31/2013 0:00:00,513,"571061526","203944054","","","","","","","","","","","","","","","","","",""
1034,12/31/2013 0:00:00,521,"","","","","","","","","","","","","","","","","","","",""
1040,12/31/2013 0:00:00,524,"","","","","","","","","","","","","","","","","","","",""
1047,12/31/2013 0:00:00,526,"","","","","","","","","","","","","","","","","","","",""
1049,12/31/2013 0:00:00,527,"","","","","","","","","","","","","","","","","","","",""
1057,12/31/2013 0:00:00,529,"","","","","","","","","","","","","","","","","","","",""
1059,12/31/2013 0:00:00,530,"","","","","","","","","","","","","","","","","","","",""
1062,12/31/2013 0:00:00,531,"","","","","","","","","","","","","","","","","","","",""
1068,12/31/2013 0:00:00,532,"","","","","","","","","","","","","","","","","","","",""
1071,12/31/2013 0:00:00,533,"","","","","","","","","","","","","","","","","","","",""
1074,12/31/2013 0:00:00,534,"954769926","","","","","","","","","","","","","","","","","","",""
1077,12/31/2013 0:00:00,536,"","","","","","","","","","","","","","","","","","","",""
1080,12/31/2013 0:00:00,537,"","","","","","","","","","","","","","","","","","","",""
1086,12/31/2013 0:00:00,541,"","","","","","","","","","","","","","","","","","","",""
1091,12/31/2013 0:00:00,544,"","","","","","","","","","","","","","","","","","","",""
1101,12/31/2013 0:00:00,549,"","","","","","","","","","","","","","","","","","","",""
1104,12/31/2013 0:00:00,551,"","","","","","","","","","","","","","","","","","","",""
1108,12/31/2013 0:00:00,552,"","","","","","","","","","","","","","","","","","","",""
1111,12/31/2013 0:00:00,554,"","","","","","","","","","","","","","","","","","","",""
1113,12/31/2013 0:00:00,555,"","","","","","","","","","","","","","","","","","","",""
1115,12/31/2013 0:00:00,556,"","","","","","","","","","","","","","","","","","","",""
1117,12/31/2013 0:00:00,557,"","","","","","","","","","","","","","","","","","","",""
1125,12/31/2013 0:00:00,560,"","","","","","","","","","","","","","","","","","","",""
1127,12/31/2013 0:00:00,561,"","","","","","","","","","","","","","","","","","","",""
1129,12/31/2013 0:00:00,563,"","","","","","","","","","","","","","","","","","","",""
1130,12/31/2013 0:00:00,564,"","","","","","","","","","","","","","","","","","","",""
1131,12/31/2013 0:00:00,565,"","","","","","","","","","","","","","","","","","","",""
1133,12/31/2013 0:00:00,567,"","","","","","","","","","","","","","","","","","","",""
1134,12/31/2013 0:00:00,568,"","","","","","","","","","","","","","","","","","","",""
1148,12/31/2013 0:00:00,575,"","","","","","","","","","","","","","","","","","","",""
1151,12/31/2013 0:00:00,576,"","","","","","","","","","","","","","","","","","","",""
1153,12/31/2013 0:00:00,577,"","","","","","","","","","","","","","","","","","","",""
1155,12/31/2013 0:00:00,579,"","","","","","","","","","","","","","","","","","","",""
1157,12/31/2013 0:00:00,581,"","","","","","","","","","","","","","","","","","","",""
1166,12/31/2013 0:00:00,585,"","","","","","","","","","","","","","","","","","","",""
1167,12/31/2013 0:00:00,586,"","","","","","","","","","","","","","","","","","","",""
1172,12/31/2013 0:00:00,589,"","","","","","","","","","","","","","","","","","","",""
1185,12/31/2013 0:00:00,593,"","","","","","","","","","","","","","","","","","","",""
1199,12/31/2013 0:00:00,599,"","","","","","","","","","","","","","","","","","","",""
1204,12/31/2013 0:00:00,603,"","","","","","","","","","","","","","","","","","","",""
1207,12/31/2013 0:00:00,604,"953732627","953990567","","","","","","","","","","","","","","","","","",""
1213,12/31/2013 0:00:00,606,"460706667","","","","","","","","","","","","","","","","","","",""
1236,12/31/2013 0:00:00,615,"","","","","","","","","","","","","","","","","","","",""
1239,12/31/2013 0:00:00,616,"","","","","","","","","","","","","","","","","","","",""
1245,12/31/2013 0:00:00,619,"","","","","","","","","","","","","","","","","","","",""
1248,12/31/2013 0:00:00,620,"","","","","","","","","","","","","","","","","","","",""
1250,12/31/2013 0:00:00,621,"","","","","","","","","","","","","","","","","","","",""
1251,12/31/2013 0:00:00,622,"","","","","","","","","","","","","","","","","","","",""
1257,12/31/2013 0:00:00,623,"","","","","","","","","","","","","","","","","","","",""
1261,12/31/2013 0:00:00,625,"141860377","","","","","","","","","","","","","","","","","","",""
1263,12/31/2013 0:00:00,627,"","","","","","","","","","","","","","","","","","","",""
1273,12/31/2013 0:00:00,632,"","","","","","","","","","","","","","","","","","","",""
1282,12/31/2013 0:00:00,635,"","","","","","","","","","","","","","","","","","","",""
1303,12/31/2013 0:00:00,644,"454317818","","","","","","","","","","","","","","","","","","",""
1305,12/31/2013 0:00:00,645,"","","","","","","","","","","","","","","","","","","",""
1309,12/31/2013 0:00:00,647,"","","","","","","","","","","","","","","","","","","",""
1313,12/31/2013 0:00:00,650,"","","","","","","","","","","","","","","","","","","",""
1316,12/31/2013 0:00:00,652,"","","","","","","","","","","","","","","","","","","",""
1317,12/31/2013 0:00:00,653,"","","","","","","","","","","","","","","","","","","",""
1339,12/31/2013 0:00:00,664,"953732627","","","","","","","","","","","","","","","","","","",""
1343,12/31/2013 0:00:00,665,"","","","","","","","","","","","","","","","","","","",""
1344,12/31/2013 0:00:00,666,"","","","","","","","","","","","","","","","","","","",""
1351,12/31/2013 0:00:00,670,"","","","","","","","","","","","","","","","","","","",""
1352,12/31/2013 0:00:00,671,"","","","","","","","","","","","","","","","","","","",""
1364,12/31/2013 0:00:00,676,"","","","","","","","","","","","","","","","","","","",""
1367,12/31/2013 0:00:00,677,"742998104","743125914","","","","","","","","","","","","","","","","","",""
1368,12/31/2013 0:00:00,678,"","","","","","","","","","","","","","","","","","","",""
1380,12/31/2013 0:00:00,683,"","","","","","","","","","","","","","","","","","","",""
1383,12/31/2013 0:00:00,684,"","","","","","","","","","","","","","","","","","","",""
1397,12/31/2013 0:00:00,689,"","","","","","","","","","","","","","","","","","","",""
1399,12/31/2013 0:00:00,690,"","","","","","","","","","","","","","","","","","","",""
1401,12/31/2013 0:00:00,691,"","","","","","","","","","","","","","","","","","","",""
1404,12/31/2013 0:00:00,692,"","","","","","","","","","","","","","","","","","","",""
1407,12/31/2013 0:00:00,694,"","","","","","","","","","","","","","","","","","","",""
1409,12/31/2013 0:00:00,695,"","","","","","","","","","","","","","","","","","","",""
1410,12/31/2013 0:00:00,696,"","","","","","","","","","","","","","","","","","","",""
1417,12/31/2013 0:00:00,699,"","","","","","","","","","","","","","","","","","","",""
1427,12/31/2013 0:00:00,702,"","","","","","","","","","","","","","","","","","","",""
1438,12/31/2013 0:00:00,707,"","","","","","","","","","","","","","","","","","","",""
1454,12/31/2013 0:00:00,712,"","","","","","","","","","","","","","","","","","","",""
1457,12/31/2013 0:00:00,713,"","","","","","","","","","","","","","","","","","","",""
1461,12/31/2013 0:00:00,714,"","","","","","","","","","","","","","","","","","","",""
1463,12/31/2013 0:00:00,716,"","","","","","","","","","","","","","","","","","","",""
1472,12/31/2013 0:00:00,722,"","","","","","","","","","","","","","","","","","","",""
1476,12/31/2013 0:00:00,723,"","","","","","","","","","","","","","","","","","","",""
1477,12/31/2013 0:00:00,724,"","","","","","","","","","","","","","","","","","","",""
1479,12/31/2013 0:00:00,725,"","","","","","","","","","","","","","","","","","","",""
1480,12/31/2013 0:00:00,726,"","","","","","","","","","","","","","","","","","","",""
1489,12/31/2013 0:00:00,730,"","","","","","","","","","","","","","","","","","","",""
1493,12/31/2013 0:00:00,732,"","","","","","","","","","","","","","","","","","","",""
1499,12/31/2013 0:00:00,735,"353732627","354512320","","","","","","","","","","","","","","","","","",""
1509,12/31/2013 0:00:00,741,"","","","","","","","","","","","","","","","","","","",""
1520,12/31/2013 0:00:00,743,"","","","","","","","","","","","","","","","","","","",""
1524,12/31/2013 0:00:00,744,"","","","","","","","","","","","","","","","","","","",""
1532,12/31/2013 0:00:00,749,"","","","","","","","","","","","","","","","","","","",""
1542,12/31/2013 0:00:00,753,"","","","","","","","","","","","","","","","","","","",""
1546,12/31/2013 0:00:00,755,"","","","","","","","","","","","","","","","","","","",""
1558,12/31/2013 0:00:00,761,"","","","","","","","","","","","","","","","","","","",""
1562,12/31/2013 0:00:00,763,"","","","","","","","","","","","","","","","","","","",""
1584,12/31/2013 0:00:00,771,"","","","","","","","","","","","","","","","","","","",""
1594,12/31/2013 0:00:00,777,"","","","","","","","","","","","","","","","","","","",""
1599,12/31/2013 0:00:00,778,"","","","","","","","","","","","","","","","","","","",""
1601,12/31/2013 0:00:00,780,"","","","","","","","","","","","","","","","","","","",""
1606,12/31/2013 0:00:00,783,"","","","","","","","","","","","","","","","","","","",""
1607,12/31/2013 0:00:00,784,"","","","","","","","","","","","","","","","","","","",""
1608,12/31/2013 0:00:00,785,"","","","","","","","","","","","","","","","","","","",""
